Countries,Province/State,date,confirmed,recovered,deaths,CHE_per_capita,CHE_prop_GDP,DOM_prop_CHE,OOPS_prop_CHE,GGHE_prop_GDP,GGHE_per_capita,PVT_per_capita,OOPS_per_capita,GOV_SUB_INS,GGE,Lat,Long,Country Income Group
Albania,NA,2020-04-21,609,345,26,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-04-22,634,356,27,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-04-23,663,385,27,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-04-24,678,394,27,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-04-25,712,403,27,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-04-26,726,410,28,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-04-27,736,422,28,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-04-28,750,431,30,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-04-29,766,455,30,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-04-30,773,470,31,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-05-01,782,488,31,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-05-02,789,519,31,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-05-03,795,531,31,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-05-04,803,543,31,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-05-05,820,570,31,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-05-06,832,595,31,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-05-07,842,605,31,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-05-08,850,620,31,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-05-09,856,627,31,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
